;r^2;esperence;Beta
AMD;44.34;13.51;2.08
CRM;37.99;10.05;1.3
META;39.27;11.54;1.64
AVGO;41.9;11.61;1.65
NVDA;51.61;13.88;2.17
AAPL;57.94;9.74;1.23
INTC;25.39;10.8;1.47
ORCL;24.36;9.49;1.17
QCOM;50.51;11.22;1.56
AMAT;50.56;12.13;1.77
MU;37.05;12.23;1.79
MSFT;55.39;9.39;1.15
TXN;44.52;9.65;1.21
GOOGL;46.5;9.83;1.25
LRCX;51.34;12.72;1.91
KLAC;51.41;12.15;1.78
BRK-B;39.79;7.13;0.63
MRVL;44.33;14.46;2.3
SNPS;37.32;10.76;1.46
CDNS;47.11;10.56;1.41
ADI;54.48;10.56;1.41
JPM;41.61;8.33;0.91
BAC;40.77;8.69;0.99
GS;50.22;9.3;1.13
WFC;34.99;8.75;1.0
SCHW;25.66;8.49;0.94
C;43.28;9.24;1.11
MS;50.83;9.5;1.17
AXP;49.57;9.6;1.2
BLK;58.98;9.6;1.2
PNC;38.93;8.66;0.98
COF;44.45;10.38;1.37
USB;33.33;8.75;1.0
TFC;36.04;9.26;1.12
PRU;44.35;8.67;0.98
MET;39.18;8.38;0.92
AFL;21.66;6.79;0.56
ALL;11.68;6.57;0.51
CB;13.54;6.2;0.42
AIG;28.19;7.84;0.79
UNH;4.67;6.13;0.41
ABBV;6.12;5.79;0.33
TMO;34.1;8.32;0.91
LLY;9.96;6.93;0.59
JNJ;3.62;5.16;0.19
PFE;10.74;6.36;0.46
ABT;18.45;6.74;0.54
DHR;34.91;8.56;0.96
AMGN;9.77;6.26;0.44
BMY;4.41;5.63;0.29
ISRG;43.74;9.98;1.28
BSX;23.59;7.27;0.67
GILD;8.93;6.22;0.43
SYK;36.08;7.98;0.83
ZTS;28.07;8.01;0.84
REGN;11.15;6.94;0.59
VRTX;12.51;6.94;0.59
MRK;5.16;5.65;0.3
MDT;19.47;6.73;0.54
AMZN;52.97;11.1;1.54
BIIB;15.45;7.73;0.77
TSLA;35.31;13.37;2.05
HD;36.63;8.03;0.84
SBUX;28.87;8.75;1.0
MCD;14.32;6.01;0.38
NKE;29.23;9.23;1.11
BKNG;36.58;9.21;1.11
HLT;44.77;8.81;1.02
LOW;33.67;8.15;0.87
YUM;21.6;6.75;0.55
DRI;23.99;7.63;0.75
TGT;21.67;8.69;0.99
MAR;43.34;9.06;1.07
CMG;28.45;8.94;1.05
ROST;28.57;8.29;0.9
BBY;29.7;9.47;1.17
ABNB;38.64;11.2;1.56
TJX;28.77;7.26;0.66
PG;8.77;5.68;0.3
WMT;12.75;6.31;0.45
COST;32.19;7.61;0.74
KO;9.8;5.61;0.29
PEP;8.25;5.7;0.31
PM;5.77;5.7;0.31
KMB;3.7;5.32;0.22
CL;4.44;5.34;0.23
CHD;3.36;5.3;0.22
MO;3.44;5.29;0.22
CAG;2.67;5.3;0.22
CPB;0.92;4.93;0.13
HRL;2.0;5.2;0.2
MKC;6.54;5.93;0.36
GIS;0.72;4.79;0.1
PSX;15.63;7.57;0.73
TSN;8.01;6.11;0.4
EOG;12.2;7.15;0.64
VLO;11.43;7.45;0.71
COP;13.4;7.33;0.68
XOM;9.96;6.42;0.47
SLB;14.87;7.98;0.83
KR;0.92;4.96;0.14
MPC;16.09;7.65;0.75
OXY;11.77;7.53;0.73
HAL;17.07;8.5;0.95
UPS;26.89;8.08;0.85
DVN;17.51;8.52;0.95
APA;16.78;9.2;1.1
HON;39.34;7.78;0.78
RTX;16.73;6.81;0.56
CVX;14.24;6.74;0.55
EMR;46.34;8.99;1.06
ETN;46.29;9.52;1.18
PH;52.61;9.59;1.19
GE;37.89;9.06;1.07
LMT;3.11;5.36;0.23
DE;21.33;7.71;0.77
CAT;34.59;8.83;1.02
MMM;26.71;8.2;0.88
ROK;41.05;9.59;1.19
CMI;37.79;8.63;0.97
DOV;49.86;8.81;1.02
ITW;43.49;7.92;0.81
FDX;26.25;8.63;0.98
NSC;31.67;7.92;0.81
UNP;28.43;7.42;0.7
CSX;34.67;7.83;0.79
ECL;38.63;8.15;0.87
LIN;36.85;7.57;0.74
WAB;48.31;8.82;1.02
FCX;33.44;10.76;1.46
SHW;30.41;8.07;0.85
APD;22.71;7.6;0.74
NEM;6.5;6.79;0.56
CF;4.18;6.25;0.43
STLD;29.19;9.46;1.16
ALB;24.93;11.35;1.59
DUK;4.94;5.35;0.23
D;7.56;5.93;0.36
NEE;12.96;6.85;0.57
NUE;30.91;9.52;1.18
SO;6.06;5.52;0.27
XEL;8.34;5.87;0.35
EXC;7.32;5.78;0.33
AEP;7.59;5.76;0.32
AMT;10.21;6.51;0.49
EQIX;30.25;8.27;0.89
PLD;36.62;8.63;0.97
CCI;12.45;6.73;0.54
SRE;18.04;6.84;0.57
ED;2.42;5.08;0.17
PCG;17.23;7.18;0.65
PSA;19.63;7.06;0.62
DLR;30.7;8.47;0.94
WELL;16.67;6.73;0.54
NFLX;25.2;10.07;1.3
AVB;29.01;7.42;0.7
O;14.13;6.14;0.41
SPG;40.51;8.5;0.95
CMCSA;22.13;7.45;0.71
ENPH;13.74;10.78;1.46
CHTR;15.8;8.16;0.87
TMUS;10.85;6.3;0.44
DIS;36.71;8.92;1.04
VZ;3.67;5.42;0.25
T;4.48;5.64;0.3
DKNG;27.04;12.49;1.85
BILL;27.53;13.8;2.15
HUBS;32.92;12.0;1.74
FSLR;10.92;8.94;1.05
TWLO;25.9;11.92;1.72
DOCU;31.08;12.22;1.79
MGM;39.75;10.68;1.44
LVS;22.63;9.08;1.08
ZM;31.0;10.39;1.38
TTWO;21.87;8.07;0.85
PODD;19.98;9.18;1.1
EA;13.98;6.6;0.51
DXCM;17.23;9.35;1.14
ALGN;28.28;11.22;1.56
LULU;28.21;10.08;1.3
ETSY;23.99;11.21;1.56
JD;12.16;9.09;1.08
BIDU;16.03;9.63;1.2
BABA;13.22;9.09;1.08
PDD;10.12;9.77;1.23
STNE;21.46;11.71;1.68
MELI;33.21;11.55;1.64
NTES;9.87;7.68;0.76
NU;23.24;11.37;1.6
GRAB;13.77;9.87;1.26
SEA;37.56;7.69;0.76
MC.PA;10.23;6.77;0.55
TTE.PA;2.32;5.26;0.21
OR.PA;6.22;5.87;0.35
SAN.PA;0.02;4.43;0.02
AIR.PA;8.08;6.3;0.45
